name CapCommando
type player
health  100
gfxshadow 1
speed   10
diesound data/sounds/eek.wav

icon	data/chars/capcommando/icon.gif
palette data/chars/capcommando/idle-1.png












anim	attack1
	delay	7
	offset	33 70
	bbox	17 0 24 69
	frame	data/chars/capcommando/attack1-1.png
	attack	42 2 49 12 5 0 1 0 0 0
	offset	35 70
	frame	data/chars/capcommando/attack1-2.png
		
anim	attack2
	delay	7
	offset	33 64
	bbox	17 0 24 69
	frame	data/chars/capcommando/attack2-1.png
	frame	data/chars/capcommando/attack2-2.png
	attack	52 16 25 20 3 0 1 0 0 0
	offset	33 67
	frame	data/chars/capcommando/attack2-3.png
	attack	54 1 32 27 4 0 1 0 0 0
	frame	data/chars/capcommando/attack2-4.png
		
anim	fall
	delay	7
	offset	20 91
	frame	data/chars/capcommando/fall-3.png
	offset	28 80
	frame	data/chars/capcommando/fall-4.png
	movez	0
	movea	0
	move	0
	offset	44 58
	frame	data/chars/capcommando/fall-5.png
	offset	44 19
	frame	data/chars/capcommando/fall-6.png
		
anim	get
	offset	28 64
	frame	data/chars/capcommando/get-2.png
	offset	28 54
	frame	data/chars/capcommando/get-1.png
	offset	28 43
	frame	data/chars/capcommando/get-3.png
	offset	28 40
	frame	data/chars/capcommando/get-4.png
		
anim	grab
	bbox	10 0 16 70
	offset	18 70
	frame	data/chars/capcommando/grab-1.png
	bbox	7 3 21 70
	offset	20 72
	frame	data/chars/capcommando/grab-2.png
	bbox	7 14 21 70
	offset	17 84
	frame	data/chars/capcommando/grab-3.png
		
anim	idle
	loop	1
	delay	7
	offset	28 68
	bbox	15 0 24 67
	frame	data/chars/capcommando/idle-1.png
		
anim	jump
	offset	29 68
	frame	data/chars/capcommando/idle-1.png
	offset	13 75
	frame	data/chars/capcommando/jump-1.png
	frame	data/chars/capcommando/jump-2.png
	offset	16 75
	frame	data/chars/capcommando/jump-3.png
		
anim	land
	offset	13 75
	frame	data/chars/capcommando/jump-2.png
	frame	data/chars/capcommando/jump-1.png
	offset	29 68
	frame	data/chars/capcommando/idle-1.png
		
anim	pain
	delay	8
	offset	28 68
	bbox	15 0 24 67
	frame	data/chars/capcommando/pain-1.png
	frame	data/chars/capcommando/pain-2.png
	frame	data/chars/capcommando/pain-3.png
	frame	data/chars/capcommando/pain-2.png
	frame	data/chars/capcommando/pain-1.png
		
anim	rise
	delay	7
	offset	44 48
	frame	data/chars/capcommando/rise-1.png
	offset	44 75
	frame	data/chars/capcommando/rise-2.png
	offset	44 75
	frame	data/chars/capcommando/rise-3.png
		
anim	throw
	offset	24 79
	frame	data/chars/capcommando/throw-1.png
	offset	24 78
	frame	data/chars/capcommando/throw-2.png
	offset	24 76
	frame	data/chars/capcommando/throw-3.png
	offset	24 64
	frame	data/chars/capcommando/throw-4.png
	offset	24 55
	frame	data/chars/capcommando/throw-5.png
		
anim	walk
	loop	1
	delay	7
	offset	16 70
	bbox	4 0 24 79
	frame	data/chars/capcommando/0.png
	offset	16 70
	frame	data/chars/capcommando/1.png
	bbox	6 0 24 79
	offset	17 70
	frame	data/chars/capcommando/2.png
	bbox	7 0 33 79
	offset	22 70
	frame	data/chars/capcommando/3.png
	bbox	10 0 24 79
	offset	21 70
	frame	data/chars/capcommando/4.png
	bbox	10 0 24 79
	offset	22 70
	frame	data/chars/capcommando/5.png
	bbox	3 0 25 79
	offset	16 70
	frame	data/chars/capcommando/6.png
	bbox	9 0 27 79
	offset	24 70
	frame	data/chars/capcommando/7.png
	bbox	14 0 27 79
	offset	27 70
	frame	data/chars/capcommando/8.png
	bbox	9 0 27 79
	offset	24 70
	frame	data/chars/capcommando/9.png
	bbox	3 0 27 79
	offset	17 70
	frame	data/chars/capcommando/10.png
		
#|edited by openBor Stats v 0.67
		
